Address,Comparison Field,Vintage,All Other,Group Comparison,City1,County1,ENERGYSTARCertified 2018,ENERGY STAR Score,Latitude1,Longitude1,Postal Code,Property Type,Property Type (Legend),Building GFA (SqFt),Property Id,Property Name,State1,Report Type,Site EUI (WN kBtu/SqFt),Year Built
400 Capitol Mall,Search Above for Results,1990-1999,FALSE, ,SACRAMENTO,Sacramento,Certified,84,38.578359,-121.502514,95814,Office,Office,"557,862",2066,Wells Fargo Center,CA,Energy Metrics,57,1992
650 Page Mill Rd.,Search Above for Results,1990-1999,FALSE, ,PALO ALTO,Santa Clara,Certified,67,37.421646,-122.144718,94304,Office,Office,"184,142",5199,650 Page Mill Rd.,CA,Energy Metrics,98,1993
601 California Ave,Search Above for Results,1990-1999,FALSE, ,PALO ALTO,Santa Clara,Certified,74,37.43622498,-122.1366056,94304,Office,Office,"111,653",5904,601 California,CA,Energy Metrics,82,1998
21250 Hawthorne Boulevard,Search Above for Results,1980-1989,FALSE, ,TORRANCE,Los Angeles,Certified,87,33.836039,-118.3519847,90503,Office,Office,"310,638",7536,The Torrance,CA,Energy Metrics,50,1988
6150 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,80,37.697655,-121.924352,94588,Office,Office,"74,707",8229,6150 Stoneridge,CA,Energy Metrics,51,1986
6140 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,92,37.697732,-121.923217,94588,Office,Office,"191,595",8235,6140 Stoneridge,CA,Energy Metrics,44,1986
6130 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,90,37.69847033,-121.923552,94588,Office,Office,"116,831",8236,6130 Stoneridge,CA,Energy Metrics,47,1989
6160 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Not Certified,94,37.697898,-121.925406,94588,Office,Office,"116,000",8237,6160 Stoneridge,CA,Energy Metrics,42,1986
6120 Stoneridge Mall Rd.,Search Above for Results,1990-1999,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,90,37.698815,-121.924845,94588,Office,Office,"73,046",8238,6120 Stoneridge,CA,Energy Metrics,43,1998
6200 Stoneridge Mall Rd.,Search Above for Results,2000-2009,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,84,37.695897,-121.924523,94588,Office,Office,"152,167",8239,6200 Stoneridge,CA,Energy Metrics,59,2000
6210 Stoneridge Mall Rd.,Search Above for Results,2000-2009,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,94,37.69526,-121.924091,94588,Office,Office,"152,167",8240,6210 Stoneridge,CA,Energy Metrics,41,2001
6220 Stoneridge Mall Rd.,Search Above for Results,2000-2009,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,93,37.695473,-121.921831,94588,Office,Office,"152,167",8241,6220 Stoneridge,CA,Energy Metrics,57,2001
650 Town Center Drive,Search Above for Results,1980-1989,FALSE, ,COSTA MESA,Orange,Certified,82,33.693222,-117.882689,92626,Office,Office,"462,191",8642,Center Tower Building,CA,Energy Metrics,39,1985
600 Anton Blvd.,Search Above for Results,1990-1999,FALSE, ,COSTA MESA,Orange,Certified,79,33.69041333,-117.8827175,92626,Office,Office,"456,803",8655,Plaza Tower,CA,Energy Metrics,48,1991
695 Town Center Drive,Search Above for Results,1970-1979,FALSE, ,COSTA MESA,Orange,Certified,82,33.692045,-117.884364,92626,Office,Office,"307,262",8656,Park Tower,CA,Energy Metrics,45,1979
501 Santa Monica Blvd,Search Above for Results,1970-1979,FALSE, ,SANTA MONICA,Los Angeles,Certified,85,34.01755917,-118.4941528,90401,Mixed Use Property,Mixed Use Property,"76,288",9292,501 Santa Monica Blvd,CA,Energy Metrics,66,1975
3130 Wilshire Blvd,Search Above for Results,1960-1969,FALSE, ,SANTA MONICA,Los Angeles,Certified,88,34.04002,-118.47166,90403,Office,Office,"89,794",10579,3130 Wilshire Blvd,CA,Energy Metrics,64,1969
18191 Von Karman,Search Above for Results,1990-1999,FALSE, ,IRVINE,Orange,Not Certified,90,33.678528,-117.852598,92612,Office,Office,"139,700",10963,Lakeshore Towers Building 2,CA,Energy Metrics,34,1999
18101 Von Karman,Search Above for Results,1990-1999,FALSE, ,IRVINE,Orange,Not Certified,81,33.680033,-117.853208,92612,Office,Office,"424,176",10968,Lakeshore Towers Building 1,CA,Energy Metrics,48,1990
18111 Von Karman,Search Above for Results,2000-2009,FALSE, ,IRVINE,Orange,Not Certified,90,33.680327,-117.853905,92612,Office,Office,"247,504",10969,Lakeshore Towers Building 3,CA,Energy Metrics,46,2000
301 E. Vanderbilt  Way,Search Above for Results,1980-1989,FALSE, ,SAN BERNARDINO,San Bernardino,Not Certified, ,34.068263,-117.278137,92408,Office,Office,"73,802",16191,One Vanderbilt,CA,Energy Metrics,32,1988
395 Oyster Point Boulevard,Search Above for Results,1980-1989,FALSE, ,SOUTH SAN FRANCISCO,San Mateo,Not Certified,96,37.66722967,-122.3826035,94080,Office,Office,"234,479",16473,Oyster Point Marina Plaza (395),CA,Energy Metrics,33,1985
400 Oyster Point Boulevard,Search Above for Results,1980-1989,FALSE, ,SOUTH SAN FRANCISCO,San Mateo,Not Certified,93,37.66554883,-122.3825898,94080,Office,Office,"234,479",16474,Oyster Point Marina Plaza (400),CA,Energy Metrics,37,1982
