"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Non-Residential","    7465.239633","    8108.827570","    7891.021676","    7357.909178","    7422.865469","    7647.457064","    7601.906546","    7964.101144","    7706.530425","    7348.677752","    8187.679756","    8770.552032","    8067.962419","    8044.391442","    7776.455865","    7665.089562","    7614.472072","    7443.645832","    7736.127642","    7766.111969","    7193.585121","    7823.244481","    7769.025061","    7309.930938","    6668.237122","    7260.776432","    6822.523242","    6809.573768","    7109.299895","  220353.221108"
"ALAMEDA","Residential","    2951.870114","    2997.541830","    2923.672818","    2899.423542","    2895.491569","    2987.473944","    3000.871672","    3025.991830","    3022.056087","    3016.614983","    2996.156961","    2971.616958","    3118.382750","    3025.561684","    2898.154798","    2937.329874","    2811.727614","    2745.259357","    2926.151585","    2890.777922","    2791.332065","    2674.834394","    2615.308775","    2548.457958","    2774.566317","    2529.229286","    2465.000074","    2515.209970","    2498.265626","   82454.332357"
"ALAMEDA","Total","   10417.109747","   11106.369400","   10814.694495","   10257.332720","   10318.357038","   10634.931009","   10602.778217","   10990.092975","   10728.586512","   10365.292735","   11183.836717","   11742.168989","   11186.345169","   11069.953125","   10674.610662","   10602.419436","   10426.199686","   10188.905190","   10662.279227","   10656.889891","    9984.917186","   10498.078875","   10384.333836","    9858.388895","    9442.803439","    9790.005719","    9287.523316","    9324.783738","    9607.565521","  302807.553465"
"ALPINE","Non-Residential","       9.283298","       9.025215","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","       5.234789","       9.368614","      10.685739","       9.377073","       9.132023","       9.431229","       5.112883","       4.671739","       5.081493","       5.159971","       4.617177","       4.832369","       4.468048","       4.384382","       4.296693","       4.382027","       4.485710","       4.224083","       3.906455","       3.581764","     170.976147"
"ALPINE","Residential","       9.420910","       9.951697","       9.290913","      11.855504","      11.974975","      13.424431","       9.298178","       9.093424","      12.451971","      13.029405","       8.899778","       9.326645","       9.537211","       8.090874","       8.996372","       6.352394","       6.720953","       6.858448","       6.247035","       6.597345","       6.792005","       6.373298","       6.063832","       6.231561","       6.183168","       6.812776","       5.808735","       6.165242","       6.036978","     243.886058"
"ALPINE","Total","      18.704208","      18.976912","      17.415654","      16.209900","      15.983364","      18.176468","      13.888339","      14.293288","      17.655755","      18.264193","      18.268392","      20.012384","      18.914285","      17.222897","      18.427601","      11.465277","      11.392691","      11.939940","      11.407006","      11.214522","      11.624374","      10.841346","      10.448214","      10.528255","      10.565195","      11.298486","      10.032819","      10.071697","       9.618742","     414.862204"
"AMADOR","Non-Residential","     163.013446","     169.612048","     173.832142","     152.643553","     154.793331","     170.867308","     180.777774","     169.979564","     175.751430","     184.051066","     188.044147","     179.985237","     165.207077","     160.639866","     165.145971","     142.213818","     135.648466","     184.203109","     234.771988","     210.245556","     202.250131","     202.181877","     215.523316","     250.506536","     240.422295","     243.241198","     229.456968","     229.735421","     210.835640","    5485.580279"
"AMADOR","Residential","     137.506340","     143.907989","     135.803182","     132.980232","     134.805266","     139.516716","     141.039818","     140.241620","     139.982404","     142.947730","     144.135365","     142.626229","     142.579005","     134.486227","     135.731053","     129.232694","     126.498194","     121.406460","     127.238094","     124.602037","     123.223191","     114.815322","     115.017917","     110.744724","     110.372675","     109.035503","     105.907059","     108.875556","     105.093388","    3720.351990"
"AMADOR","Total","     300.519785","     313.520037","     309.635323","     285.623785","     289.598598","     310.384025","     321.817592","     310.221184","     315.733834","     326.998796","     332.179512","     322.611466","     307.786082","     295.126093","     300.877024","     271.446512","     262.146660","     305.609569","     362.010082","     334.847593","     325.473322","     316.997198","     330.541233","     361.251260","     350.794970","     352.276701","     335.364027","     338.610978","     315.929028","    9205.932269"
"BUTTE","Non-Residential","     756.702499","     769.610424","     760.806386","     780.488761","     770.622394","     773.447012","     768.594002","     713.419067","     707.453703","     724.516621","     746.736926","     800.564412","     719.683097","     672.357872","     688.024349","     665.800743","     710.564686","     643.683571","     858.737526","     755.056133","     663.718453","     944.057618","     776.793460","     721.017567","     962.960481","     694.270068","     728.857099","     754.417745","     853.894130","   21886.856805"
"BUTTE","Residential","     722.508276","     764.882232","     725.718157","     716.501321","     721.286274","     730.982498","     739.536468","     726.302478","     719.403746","     731.892206","     724.065281","     715.052735","     708.685816","     686.092268","     689.915946","     658.820517","     638.765166","     604.727634","     705.771423","     629.151655","     616.782380","     597.449897","     594.667475","     559.101202","     556.276390","     551.043168","     555.149304","     553.073852","     547.901570","   19191.507335"
"BUTTE","Total","    1479.210775","    1534.492656","    1486.524542","    1496.990082","    1491.908668","    1504.429510","    1508.130470","    1439.721545","    1426.857449","    1456.408827","    1470.802207","    1515.617147","    1428.368912","    1358.450140","    1377.940296","    1324.621261","    1349.329852","    1248.411205","    1564.508949","    1384.207787","    1280.500833","    1541.507515","    1371.460934","    1280.118768","    1519.236871","    1245.313236","    1284.006403","    1307.491598","    1401.795701","   41078.364139"
"CALAVERAS","Non-Residential","     129.666054","     132.581163","     117.148249","     119.382018","     126.035900","     125.859211","     124.029168","     124.456822","     116.893714","     121.260187","     119.359437","     122.330582","     123.266048","     119.895649","      99.087106","      94.780181","      97.364260","      86.515141","      81.848138","      79.783645","      76.174609","      76.243264","      69.294418","      65.145714","      86.719368","     101.921925","     107.287440","     108.402558","     105.650088","    3058.382057"
"CALAVERAS","Residential","     202.779767","     215.147744","     198.752467","     191.705184","     192.867729","     200.018332","     201.710548","     200.629843","     198.068763","     202.050995","     200.684529","     199.904684","     195.080656","     187.987183","     189.278127","     177.277281","     175.359697","     168.848427","     173.581127","     170.901347","     167.369797","     157.714415","     153.829455","     148.585115","     146.123388","     145.291775","     140.066797","     143.201069","     138.299372","    5183.115613"
"CALAVERAS","Total","     332.445821","     347.728906","     315.900716","     311.087202","     318.903628","     325.877542","     325.739716","     325.086665","     314.962477","     323.311182","     320.043966","     322.235265","     318.346704","     307.882832","     288.365233","     272.057463","     272.723957","     255.363568","     255.429265","     250.684992","     243.544406","     233.957679","     223.123873","     213.730829","     232.842757","     247.213700","     247.354237","     251.603627","     243.949460","    8241.497668"
"COLUSA","Non-Residential","     235.372158","     227.604484","     234.227066","     244.513369","     240.570148","     234.065914","     213.971475","     206.446520","     193.040212","     200.037944","     193.074400","     186.483865","     183.224933","     184.719636","     175.423030","     163.501641","     198.647619","     196.950031","     184.207127","     187.789259","     150.243733","     160.209239","     151.239858","     144.016009","     154.017770","     145.180261","     145.705115","     143.530792","     145.044750","    5423.058358"
"COLUSA","Residential","      65.824078","      68.631324","      64.983202","      64.437041","      64.870282","      64.849594","      65.669299","      64.398060","      63.431713","      65.593007","      64.254493","      64.189496","      65.001533","      63.477249","      59.635552","      58.228832","      54.718416","      53.398152","      56.692548","      54.987594","      54.668412","      54.037338","      53.461666","      50.557113","      50.078667","      49.733609","      50.535778","      50.731018","      50.598114","    1711.673180"
"COLUSA","Total","     301.196236","     296.235808","     299.210268","     308.950409","     305.440430","     298.915508","     279.640774","     270.844580","     256.471925","     265.630951","     257.328894","     250.673361","     248.226466","     248.196885","     235.058583","     221.730473","     253.366034","     250.348184","     240.899676","     242.776854","     204.912146","     214.246577","     204.701523","     194.573122","     204.096438","     194.913870","     196.240893","     194.261811","     195.642863","    7134.731542"
"CONTRA COSTA","Non-Residential","    6495.669665","    6840.589382","    6874.102774","    6776.011140","    6847.951995","    6359.564658","    6324.077383","    6350.149214","    6380.867319","    6305.439747","    6567.125112","    5855.006770","    5928.926073","    5838.549807","    5885.971333","    5705.085899","    5547.976541","    5858.847782","    5987.529699","    6516.863926","    6227.664337","    6966.512586","    6747.460390","    6841.034944","    6769.255690","    6651.078676","    6306.654200","    6346.411603","    6521.032055","  184623.410700"
"CONTRA COSTA","Residential","    2814.796953","    2898.220795","    2764.370282","    2742.073498","    2740.240644","    2771.722517","    2770.143237","    2751.599891","    2733.989451","    2787.812326","    2784.644845","    2738.315780","    2745.485523","    2662.061392","    2650.015448","    2540.188182","    2484.832635","    2371.265356","    2636.944329","    2494.698140","    2447.707554","    2341.155238","    2316.045847","    2177.154476","    2137.669934","    2167.951542","    2094.083360","    2073.815256","    2074.798616","   73713.803047"
