PlantClass,RPS Eligible,SolarThermal,Small Hydro,CoGeneration,NewCombinedCycleUnit,Aging,OTC,Peaker,Year,State,CECPlantID,Unit,Status,StartDate,RetireDate,PrimeMoverID,PrimeMoverDesc,Capacity,GrossMWh,NetMWh,PriFuelUseMMBTU,PriEnergySource,SecFuelUseMMBTU,SecEnergySource
B,0,0,0,0,0,0,0,0,2013,CA,B0001,Unit 1,OP,7/1/2013 0:00,,OT,Other (Explain in Notes),2.4,0,552,0,BAT,0,UNK
B,0,0,0,0,0,0,0,0,2017,CA,B0007,Unit 1,OP,12/31/2016 0:00,,OT,Other (Explain in Notes),20,28974,26050,0.12,BAT,0,N/A
B,0,0,0,0,0,0,0,0,2018,CA,B0007,Unit 1,OP,12/31/2016 0:00,,OT,Other (Explain in Notes),20,21479,19012,0,BAT,0,N/A
B,0,0,0,0,0,0,0,0,2017,CA,B0011,Unit 1,OP,12/1/2016 0:00,,OT,Other (Explain in Notes),29.7,3955,2446,0,BAT,0,N/A
B,0,0,0,0,0,0,0,0,2018,CA,B0011,Unit 1,OP,12/1/2016 0:00,,OT,Other (Explain in Notes),29.7,0,0,0,BAT,0,N/A
B,0,0,0,0,0,0,0,0,2018,CA,B0014,MB20,OP,9/1/2016 0:00,,FC,Fuel Cell (electrochemical),1.4,10002,9152,74276,OBG,8959,NG
B,0,0,0,0,0,0,0,0,2018,CA,B0015,MB18,OP,12/16/2016 0:00,,FC,Fuel Cell (electrochemical),1.4,10442,9930,83320,NG,0,N/A
B,0,0,0,0,0,0,0,0,2018,CA,B0016,MB16,OP,12/15/2015 0:00,,FC,Fuel Cell (electrochemical),1.4,8922,8284,76947,NG,0,N/A
B,0,0,0,0,0,0,0,0,2017,CA,B0017,Unit 1,OP,10/1/2017 0:00,,OT,Other (Explain in Notes),2,82,57,0,BAT,0,N/A
B,0,0,0,0,0,0,0,0,2018,CA,B0017,Unit 1,OP,10/1/2017 0:00,,OT,Other (Explain in Notes),2,0,0,0,BAT,0,N/A
C,0,0,0,1,0,0,0,0,2011,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,886321,779601,9245580,BIT,25271,NG
C,0,0,0,1,0,0,0,0,2001,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,730570,661026,8205373,BIT,0,PC
C,0,0,0,1,0,0,0,0,2014,CA,C0001,GEN 1,RE,12/1/1990 0:00,10/1/2014 0:00,ST,Steam Turbine,108,384913.04,333205.04,4596524.02,BIT,7109,NG
C,0,0,0,1,0,0,0,0,2012,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,642191,555437,7613376,BIT,23321,NG
C,0,0,0,1,0,0,0,0,2010,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,888203,783630,9477852,BIT,8328,NG
C,0,0,0,1,0,0,0,0,2009,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,888130,787137,9523446,BIT,21170,NG
C,0,0,0,1,0,0,0,0,2008,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,891023,803083,9184217,BIT,16478,NG
C,0,0,0,1,0,0,0,0,2006,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,845956,767795,8912960,BIT,24504,NG
C,0,0,0,1,0,0,0,0,2005,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,842382,764480,6893458,BIT,2239461,PC
C,0,0,0,1,0,0,0,0,2002,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,817746,740742,9186347,BIT,1465005,PC
C,0,0,0,1,0,0,0,0,2004,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,824692,748828,7996839,BIT,1374608,PC
C,0,0,0,1,0,0,0,0,2003,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,835326,757155,7253127,BIT,2214295,PC
C,0,0,0,1,0,0,0,0,2007,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,873621,796516,9813135,BIT,0,NG
C,0,0,0,1,0,0,0,0,2013,CA,C0001,GEN 1,OP,12/1/1990 0:00,,ST,Steam Turbine,108,367902.13,320201.13,4204379.13,BIT,1958.11,NG
C,0,0,0,1,0,0,0,0,2018,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,246434,206936,3220853,PC,174184,NG
C,0,0,0,1,0,0,0,0,2011,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,240207,219405,3284096,PC,149928,NG
C,0,0,0,1,0,0,0,0,2012,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,277661,240157,3585696,PC,200740,NG
C,0,0,0,1,0,0,0,0,2013,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,228055,193884,2945490,PC,172275,NG
C,0,0,0,1,0,0,0,0,2014,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,248070,208442,3007933,PC,192133,NG
C,0,0,0,1,0,0,0,0,2015,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,265446,229334,3322333,PC,157925,NG
C,0,0,0,1,0,0,0,0,2017,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,283975,246165,3748842,PC,98535,NG
C,0,0,0,1,0,0,0,0,2008,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,243541,201402,3414459,PC,90403,NG
C,0,0,0,1,0,0,0,0,2016,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,236598,207055,3026192,PC,156174,NG
C,0,0,0,1,0,0,0,0,2009,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,231163,200461,2912438,PC,478298,NG
C,0,0,0,1,0,0,0,0,2007,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,234332,234332,3680422,PC,100353,NG
C,0,0,0,1,0,0,0,0,2006,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,239711,239711,3975973,PC,75639,NG
C,0,0,0,1,0,0,0,0,2005,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,281025,246820,3608038,PC,129141,NG
C,0,0,0,1,0,0,0,0,2004,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,247984,216601,2932280,PC,234359,NG
C,0,0,0,1,0,0,0,0,2003,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,268494,235084,3395057,PC,309249,NG
C,0,0,0,1,0,0,0,0,2002,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,296624,262510,3558329,PC,368377,NG
C,0,0,0,1,0,0,0,0,2001,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,256860,224838,3291944,PC,379282,NG
C,0,0,0,1,0,0,0,0,2010,CA,C0002,UNIT 1,OP,12/1/1982 0:00,,ST,Steam Turbine,35.8,232175,216872,3702030,PC,224750,NG
C,0,0,0,1,0,0,0,0,2001,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,291512,250253,2558464,BIT,67022,PC
C,0,0,0,1,0,0,0,0,2007,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,332132,288550,2964863,BIT,897901,PC
C,0,0,0,1,0,0,0,0,2006,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,288071,235811,3007081,BIT,430125,PC
C,0,0,0,1,0,0,0,0,2005,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,333255,289462,3979852,BIT,73311,PC
C,0,0,0,1,0,0,0,0,2004,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,336497,290290,3792672,BIT,243180,PC
C,0,0,0,1,0,0,0,0,2002,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,324544,324544,3675656,BIT,254034,PC
C,0,0,0,1,0,0,0,0,2009,CA,C0004,GEN 1,SB,12/1/1989 0:00,,ST,Steam Turbine,49.9,76393.08,64444.08,927364,BIT,95113,PC
C,0,0,0,1,0,0,0,0,2010,CA,C0004,GEN 1,RE,12/1/1989 0:00,12/31/2010 0:00,ST,Steam Turbine,49.9,0,0,0,BIT,0,PC
C,0,0,0,1,0,0,0,0,2003,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,405691,355745,4563854,BIT,5824,PC
C,0,0,0,1,0,0,0,0,2008,CA,C0004,GEN 1,OP,12/1/1989 0:00,,ST,Steam Turbine,49.9,304110,263014,3452330,BIT,95113,PC
C,0,0,0,0,0,0,0,0,2008,CA,C0005,1,OS,6/1/1986 0:00,,ST,Steam Turbine,18.4,0.12,0.12,0,PC,0,UNK
