State,TypeCode,CECPlantID,EIAPlantID,Unit,LastOfCapacity,Aging,OTC,Peaker,PMCC,NewCombinedCycleUnit,CombinedCycle,StartDate,MaxOfRetireDate,PrimeMoverID,PrimeMoverDesc,PriEnergySource,Description
CA,B,B0001,Missing,Unit 1,2.4,0,0,0,0,0,0,7/1/2013 0:00,,OT,Other (Explain in Notes),OTH,Battery Storage - not to be counted as a primary fuel/energy source
CA,B,B0007,Missing,Unit 1,20,0,0,0,0,0,0,12/31/2016 0:00,,BA,Other (Explain in Notes),BAT,Battery Storage - not to be counted as a primary fuel/energy source
CA,B,B0011,Missing,Unit 1,29.7,0,0,0,0,0,0,12/1/2016 0:00,,BA,Other (Explain in Notes),BAT,Battery Storage - not to be counted as a primary fuel/energy source
CA,B,B0014,59877,MB20,1.4,0,0,0,0,0,0,9/1/2016 0:00,,FC,Fuel Cell (electrochemical),BAT,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,B,B0015,60385,MB18,1.4,0,0,0,0,0,0,12/16/2016 0:00,,FC,Fuel Cell (electrochemical),BAT,"Natural Gas (Pipeline Weighted National Average w/ HHV 1,050 Btu/scf)"
CA,B,B0016,60120,MB16,1.4,0,0,0,0,0,0,12/15/2015 0:00,,FC,Fuel Cell (electrochemical),BAT,"Natural Gas (Pipeline Weighted National Average w/ HHV 1,050 Btu/scf)"
CA,B,B0017,60974,Unit 1,2,0,0,0,0,0,0,10/1/2017 0:00,,BA,Other (Explain in Notes),BAT,Battery Storage - not to be counted as a primary fuel/energy source
CA,C,C0001,10002,GEN 1,108,0,0,0,0,0,0,12/1/1990 0:00,10/1/2014 0:00,ST,Steam Turbine,PC,Bituminous Coal
CA,C,C0002,10601,UNIT 1,35.8,0,0,0,0,0,0,12/1/1982 0:00,,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0004,54238,GEN 1,49.9,0,0,0,0,0,0,12/1/1989 0:00,1/1/2011 0:00,ST,Steam Turbine,BIT,Bituminous Coal
CA,C,C0005,10744,1,18.4,0,0,0,0,0,0,6/1/1986 0:00,12/31/2012 0:00,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0007,10373,GEN 1,24,0,0,0,0,0,0,9/1/1990 0:00,10/18/2011 0:00,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0008,10367,GEN 1,19,0,0,0,0,0,0,12/1/1990 0:00,4/26/2012 0:00,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0009,10368,GEN 1,19,0,0,0,0,0,0,12/1/1989 0:00,4/26/2012 0:00,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0010,10370,GEN 1,19,0,0,0,0,0,0,10/1/1989 0:00,4/26/2012 0:00,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0011,10369,GEN 1,19,0,0,0,0,0,0,8/1/1990 0:00,4/26/2012 0:00,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0012,10371,GEN 1,19,0,0,0,0,0,0,3/1/1990 0:00,4/26/2012 0:00,ST,Steam Turbine,PC,Petroleum Coke (Solid)
CA,C,C0016,54626,S/N 412585,63.6,0,0,0,0,0,0,9/1/1988 0:00,11/1/2011 0:00,ST,Steam Turbine,BIT,Bituminous Coal
CA,C,C0017,10684,TG #5,7.5,0,0,0,0,0,0,12/1/1947 0:00,,ST,Steam Turbine,BIT,"Natural Gas (Pipeline Weighted National Average w/ HHV 1,050 Btu/scf)"
CA,C,C0017,10684,TG #8,27.5,0,0,0,0,0,0,5/1/1978 0:00,,ST,Steam Turbine,BIT,Bituminous Coal
CA,C,C0017,10684,TG #9,27.5,0,0,0,0,0,0,5/1/1978 0:00,,ST,Steam Turbine,BIT,Bituminous Coal
CA,C,C0018,10768,Unit 1,38.3,0,0,0,0,0,0,9/1/1989 0:00,1/20/2016 0:00,ST,Steam Turbine,BIT,Bituminous Coal
CA,C,C0019,50557,GEN1,12,0,0,0,1,0,1,12/1/1954 0:00,3/31/2008 0:00,CT,Combined Cycle - Combustion Turbine portion,BIT,Bituminous Coal
CA,C,C0019,50557,GEN2,12,0,0,0,1,0,1,12/1/1954 0:00,3/31/2008 0:00,CA,Combined Cycle - Steam Turbine portion,BIT,Bituminous Coal
CA,C,C0021,10640,GEN1,55.1,0,0,0,0,0,0,3/1/1988 0:00,3/31/2012 0:00,ST,Steam Turbine,BIT,Bituminous Coal
CA,C,C0022,10769,1,38.3,0,0,0,0,0,0,9/1/1989 0:00,2/12/2015 0:00,ST,Steam Turbine,BIT,Bituminous Coal
UT,C,C0023,6481,Unit 1,900,0,0,0,0,0,0,6/9/1986 0:00,,ST,Steam Turbine,BIT,Bituminous Coal
UT,C,C0023,6481,Unit 2,900,0,0,0,0,0,0,5/1/1987 0:00,,ST,Steam Turbine,BIT,Bituminous Coal
NV,C,C0024,2341,Unit 1,818.1,1,0,0,0,0,0,1/1/1971 0:00,12/31/2005 0:00,ST,Steam Turbine,SUB,Sub-bituminous Coal
